TIME,000300.SH,H11008.CSI,CBA01201.CS,CBA00601.CS,NH0100.NHF,DR001.IB
2010-01-04,3535.229,130.02,130.2409,128.633,1430.4799,1.07
2010-01-05,3564.038,130.51,130.2838,128.6461,1441.4393,1.12
2010-01-06,3541.727,129.95,130.3125,128.7032,1454.1171,1.12
2010-01-07,3471.456,129.04,130.3272,128.6368,1432.498,1.08
2010-01-08,3480.13,129.29,130.2819,128.5676,1420.3436,1.06
2010-01-11,3482.052,129.32,130.3262,128.5874,1444.1139,1.05
2010-01-12,3534.916,130.09,130.3197,128.5639,1433.9426,1.0375
2010-01-13,3421.144,129.79,130.2099,128.3986,1394.6335,1.08
2010-01-14,3469.051,129.93,130.2632,128.4262,1409.0916,1.05
2010-01-15,3482.738,130.14,130.3034,128.435,1398.636,1.03
2010-01-18,3500.684,129.49,130.341,128.4907,1401.3217,1.03
2010-01-19,3507.482,129.74,130.3448,128.5872,1411.4203,1.06
2010-01-20,3394.434,130.12,130.4374,128.7067,1400.9422,1.033
2010-01-21,3408.574,130.49,130.4566,128.7124,1413.742,1.033
2010-01-22,3366.197,130.56,130.4931,128.7902,1387.8073,1.03
2010-01-25,3328.014,130.78,130.5688,128.8931,1390.5428,1.2
2010-01-26,3242.797,131.44,130.6063,129.0173,1375.9686,1.21
2010-01-27,3198.566,130.82,130.6853,129.1158,1375.3471,1.31
2010-01-28,3206.57,130.95,130.7244,129.1861,1345.2255,1.36
2010-01-29,3204.155,131.0,130.7523,129.3397,1329.7502,1.36
2010-02-01,3152.707,130.96,130.88,129.5646,1319.7065,1.36
2010-02-02,3146.189,131.22,130.9647,129.7153,1318.8049,1.36
2010-02-03,3230.715,131.4,131.0307,129.9378,1347.5382,1.365
2010-02-04,3218.802,131.4,131.0653,129.851,1328.0471,1.36
2010-02-05,3153.087,131.45,131.0822,130.0338,1306.8405,1.36
2010-02-08,3150.988,131.49,131.1752,130.0739,1313.1869,1.38
2010-02-09,3169.19,131.95,131.2373,130.0972,1321.9832,1.41
2010-02-10,3214.13,131.9,131.255,130.1444,1340.2985,1.5
2010-02-11,3220.398,131.83,131.258,130.223,1352.8839,2.2
2010-02-12,3251.278,131.52,131.2567,130.2426,1363.9601,2.07
2010-02-22,3233.345,131.97,131.326,130.0633,1387.0194,1.43
2010-02-23,3198.634,132.1,131.3402,130.0595,1393.3823,1.44
2010-02-24,3244.483,131.95,131.4097,130.1667,1385.3912,1.44
2010-02-25,3292.128,132.0,131.5086,130.3948,1375.6243,1.45
